prof_id,prof_label,rec_id,x,y,cds2d,DEM_CTX-ad,cds3d_1,slopd_1
1,,1,-1066997.0731105618,80446.0902171341,0.0,-3217.605899361347,0.0,6.819348888995501
1,,2,-1066995.1224685884,80434.2498203548,11.999999999985251,-3216.1708757849383,12.085499272454353,10.966270947452427
1,,3,-1066993.1718266148,80422.40942357552,23.999999999993992,-3213.8456423450903,24.30870304846976,9.048036465698443
1,,4,-1066991.2211846414,80410.56902679622,35.999999999979245,-3211.934714575429,36.45990236954536,3.5168258496960276
1,,5,-1066989.2705426677,80398.72863001692,48.000000000002345,-3211.197225889463,48.482543076248795,-3.332578436311832
1,,6,-1066987.3199006943,80386.88823323762,59.999999999987594,-3211.8959876576223,60.50287035999141,2.2153361835751664
1,,7,-1066985.3692587207,80375.04783645834,71.99999999999633,-3211.431777381628,72.51184580257387,11.761852281579886
1,,8,-1066983.4186167473,80363.20743967904,83.99999999998158,-3208.9331839484366,84.76920967675304,-4.802642959914064
1,,9,-1066981.4679747736,80351.36704289974,96.00000000000469,-3209.9414095480706,96.81149014435184,-32.43503578716936
1,,10,-1066979.5173328002,80339.52664612044,107.99999999998994,-3217.56713826308,111.02949768530365,16.93809833265906
1,,11,-1066977.5666908266,80327.68624934116,119.99999999999868,-3213.9125418874155,123.57366265030745,4.851366888148437
1,,12,-1066975.6160488531,80315.84585256186,131.99999999998394,-3212.8940387986167,135.6168079430264,2.1193140717319143
1,,13,-1066973.6654068795,80304.00545578256,144.00000000000705,-3212.449968155058,147.6250217459625,-5.813907534194915
1,,14,-1066971.714764906,80292.16505900328,155.99999999997794,-3213.671826618023,159.6870670991694,-6.086318808900614
1,,15,-1066969.7641229325,80280.32466222398,168.00000000000105,-3214.9513586309804,171.75509105393257,3.3940574741106633
1,,16,-1066967.813480959,80268.48426544468,179.9999999999863,-3214.239676251224,183.77617635474056,1.4904228372559674
1,,17,-1066965.8628389854,80256.64386866539,192.0000000000094,-3213.9274523953077,195.78023748990466,0.7897908094606014
1,,18,-1066963.912197012,80244.8034718861,203.9999999999803,-3213.762028517395,207.78137764651834,-3.301358076734274
1,,19,-1066961.9615550383,80232.9630751068,216.0000000000034,-3214.4542295448987,219.80132532789497,-8.59006760943373
1,,20,-1066960.010913065,80221.1226783275,227.99999999998866,-3216.2669311572035,231.9374650409544,-11.103543984827873
1,,21,-1066958.0602710913,80209.2822815482,240.00000000001177,-3218.622008386439,244.1663811317704,-4.121968997951691
1,,22,-1066956.109629118,80197.44188476892,251.99999999998266,-3219.486804027003,256.19750208948835,3.344693951364267
1,,23,-1066954.1589871442,80185.60148798962,264.00000000000574,-3218.785496155996,268.2179776512326,6.887080840561756
1,,24,-1066952.2083451708,80173.76109121033,275.999999999991,-3217.3360819264462,280.30519410534095,5.098384562822293
1,,25,-1066950.2577031972,80161.92069443104,287.9999999999998,-3216.265451488467,292.3528598350554,1.1882586471269383
1,,26,-1066948.3070612238,80150.08029765174,299.99999999998505,-3216.0165474932196,304.35544094073833,16.041331974940373
1,,27,-1066946.3564192501,80138.23990087245,312.00000000000813,-3212.5662326089664,316.84162021227905,68.44981840954809
1,,28,-1066944.4057772767,80126.39950409315,323.9999999999934,-3182.180528498887,349.51104038259973,-51.060497357894235
1,,29,-1066942.455135303,80114.55910731386,336.00000000000216,-3197.031328897399,368.6041352725503,-45.59968270920917
1,,30,-1066940.5044933297,80102.71871053457,347.99999999998744,-3209.2851896913166,385.7551441162411,-6.202430386590672
1,,31,-1066938.553851356,80090.87831375527,360.0000000000105,-3210.589321892143,397.825801132236,-6.341384505828203
